ReleaseDates,MeasureMonth,CrossDate
14/07/1998,30/06/1998,01/06/1998
18/08/1998,31/07/1998,01/07/1998
17/09/1998,31/08/1998,01/08/1998
16/10/1998,30/09/1998,01/09/1998
17/11/1998,31/10/1998,01/10/1998
15/12/1998,30/11/1998,01/11/1998
14/01/1999,31/12/1998,01/12/1998
19/02/1999,31/01/1999,01/01/1999
18/03/1999,28/02/1999,01/02/1999
13/04/1999,31/03/1999,01/03/1999
14/05/1999,30/04/1999,01/04/1999
16/06/1999,31/05/1999,01/05/1999
15/07/1999,30/06/1999,01/06/1999
17/08/1999,31/07/1999,01/07/1999
15/09/1999,31/08/1999,01/08/1999
19/10/1999,30/09/1999,01/09/1999
17/11/1999,31/10/1999,01/10/1999
14/12/1999,30/11/1999,01/11/1999
14/01/2000,31/12/1999,01/12/1999
18/02/2000,31/01/2000,01/01/2000
17/03/2000,29/02/2000,01/02/2000
14/04/2000,31/03/2000,01/03/2000
16/05/2000,30/04/2000,01/04/2000
14/06/2000,31/05/2000,01/05/2000
18/07/2000,30/06/2000,01/06/2000
16/08/2000,31/07/2000,01/07/2000
15/09/2000,31/08/2000,01/08/2000
18/10/2000,30/09/2000,01/09/2000
16/11/2000,31/10/2000,01/10/2000
15/12/2000,30/11/2000,01/11/2000
17/01/2001,31/12/2000,01/12/2000
21/02/2001,31/01/2001,01/01/2001
21/03/2001,28/02/2001,01/02/2001
17/04/2001,31/03/2001,01/03/2001
16/05/2001,30/04/2001,01/04/2001
15/06/2001,31/05/2001,01/05/2001
18/07/2001,30/06/2001,01/06/2001
16/08/2001,31/07/2001,01/07/2001
18/09/2001,31/08/2001,01/08/2001
19/10/2001,30/09/2001,01/09/2001
16/11/2001,31/10/2001,01/10/2001
14/12/2001,30/11/2001,01/11/2001
16/01/2002,31/12/2001,01/12/2001
20/02/2002,31/01/2002,01/01/2002
21/03/2002,28/02/2002,01/02/2002
16/04/2002,31/03/2002,01/03/2002
15/05/2002,30/04/2002,01/04/2002
18/06/2002,31/05/2002,01/05/2002
19/07/2002,30/06/2002,01/06/2002
16/08/2002,31/07/2002,01/07/2002
18/09/2002,31/08/2002,01/08/2002
18/10/2002,30/09/2002,01/09/2002
